Temperature,Humidity,Smoke,CO,Flame,Pressure,Motion,Label
66.46,60.27,740.52,1.82,0.1,1010.79,1,0
110.79,16.85,1296.07,44.72,1.0,1001.65,0,2
171.2,39.34,1848.17,23.97,1.0,1006.85,1,2
90.84,55.97,150.42,8.57,0.0,1009.61,0,1
24.99,36.35,50.29,2.19,0.0,1011.61,1,0
62.05,42.47,335.38,10.37,0.3,1004.96,0,1
118.27,21.62,1911.71,55.34,1.0,992.71,1,2
97.6,29.53,1204.04,21.37,1.0,1007.57,0,2
145.0,20.99,1809.77,49.43,1.0,990.57,0,2
40.94,45.39,169.13,2.66,0.0,1011.48,1,0
169.02,31.26,678.28,20.89,1.0,997.59,1,2
75.41,33.74,686.91,14.52,0.3,1006.12,0,1
29.33,42.25,77.98,0.44,0.0,1014.91,1,0
89.13,6.85,733.43,26.82,1.0,1000.2,1,2
86.38,51.53,238.84,5.49,0.2,1004.39,0,1
148.61,37.23,1639.67,39.97,1.0,1001.16,0,2
58.22,84.68,461.79,2.17,0.0,1013.12,1,0
131.67,32.3,1344.13,25.84,1.0,1007.17,1,2
140.85,29.48,1930.99,48.38,1.0,990.67,0,2
61.45,67.37,371.23,4.56,0.1,1008.69,1,0
33.71,63.84,645.35,2.68,0.0,1013.52,1,0
32.22,74.6,381.96,3.96,0.0,1008.99,1,0
45.79,43.03,88.2,3.58,0.2,1007.67,0,1
143.18,21.04,1732.99,35.94,1.0,997.76,1,2
47.76,12.49,311.85,15.98,0.0,1001.69,1,1
72.36,28.45,508.8,16.49,0.3,1007.06,0,1
26.42,35.48,72.29,0.83,0.0,1010.02,1,0
74.34,35.63,525.3,15.36,0.3,1003.71,0,1
84.34,27.14,158.45,6.98,0.0,1011.15,1,1
63.86,32.78,647.6,8.26,0.3,1003.1,0,1
85.9,43.31,313.72,22.35,0.3,1005.18,1,1
50.71,46.56,184.18,2.03,0.0,1014.66,1,0
28.73,32.25,60.19,1.76,0.0,1010.42,1,0
28.7,52.61,44.71,2.64,0.0,1014.76,1,0
88.56,35.89,712.88,15.48,0.0,1000.51,1,1
46.9,21.6,334.34,5.48,0.0,1004.36,0,1
29.25,54.06,14.52,0.32,0.0,1009.73,1,0
97.04,13.88,759.75,23.48,0.0,1004.35,1,1
18.18,43.67,75.7,0.63,0.0,1011.16,1,0
52.84,49.0,609.36,12.29,0.0,1002.47,1,1
35.01,86.1,597.63,2.66,0.1,1011.55,1,0
30.98,77.19,212.64,3.21,0.1,1009.13,1,0
35.09,81.96,150.79,1.92,0.0,1008.72,1,0
69.2,68.74,606.91,3.63,0.1,1014.38,1,0
64.06,41.12,314.82,7.5,0.2,1005.0,1,1
64.42,58.97,412.41,6.94,0.2,1005.62,0,1
45.93,49.72,575.38,18.14,0.0,1004.93,1,1
21.52,40.92,37.55,1.22,0.0,1014.89,0,0
106.0,37.47,1361.44,35.78,1.0,1001.67,0,2
65.31,21.9,411.03,7.51,0.0,1006.44,0,1
126.14,9.76,1238.66,33.58,1.0,998.82,0,2
95.57,21.68,339.4,11.0,0.3,1003.89,0,1
75.17,19.99,753.97,19.13,0.3,1005.85,1,1
27.67,30.37,37.74,0.58,0.0,1008.8,1,0
97.22,39.62,728.92,15.29,0.0,1005.61,0,1
124.1,28.21,986.54,58.36,1.0,1001.64,0,2
25.79,52.45,70.63,1.43,0.0,1013.86,1,0
51.62,76.92,228.36,1.4,0.0,1009.88,1,0
63.74,43.28,472.74,21.18,0.3,1007.83,1,1
110.37,14.72,1280.07,59.11,1.0,997.73,0,2
28.35,55.16,24.74,0.88,0.0,1012.05,1,0
66.68,27.44,671.21,13.77,0.0,1007.7,1,1
37.07,72.32,185.35,1.25,0.1,1010.09,1,0
54.27,77.6,331.17,2.42,0.0,1009.24,1,0
146.48,35.48,1885.39,25.29,1.0,1005.63,0,2
73.06,20.67,485.02,10.62,0.0,1004.44,0,1
151.83,22.13,1748.64,25.36,1.0,1006.45,1,2
95.04,33.85,858.22,18.46,0.3,1008.51,0,1
62.51,35.24,855.24,10.91,0.3,1008.4,0,1
25.98,51.92,54.89,2.09,0.0,1008.74,1,0
62.0,14.3,863.34,14.96,0.0,1003.66,0,1
91.54,36.63,423.25,5.5,0.3,1007.93,1,1
60.95,85.61,794.7,3.8,0.0,1014.61,1,0
25.74,56.87,17.57,0.67,0.0,1009.66,0,0
53.11,59.67,79.37,4.8,0.2,1009.4,0,1
142.2,22.95,1573.89,25.54,1.0,993.02,1,2
103.02,13.22,1574.93,29.3,1.0,1002.82,1,2
23.45,48.72,46.42,2.82,0.0,1013.96,1,0
45.67,52.45,23.44,2.74,0.2,1007.2,1,1
28.78,55.55,69.9,0.42,0.0,1009.43,1,0
58.13,57.16,364.14,1.44,0.2,1006.25,1,1
33.98,83.89,435.08,1.36,0.1,1015.19,1,0
29.6,43.62,56.2,1.97,0.0,1008.7,1,0
57.87,24.68,222.01,9.33,0.0,1008.06,1,1
37.62,76.48,177.86,2.77,0.1,1009.56,1,0
91.0,25.14,895.88,33.53,1.0,996.77,1,2
88.03,24.43,636.83,23.6,1.0,1006.64,0,2
73.37,38.86,385.81,3.65,0.2,1007.83,0,1
27.86,42.05,77.96,2.31,0.0,1014.75,1,0
91.76,27.91,410.21,4.04,0.2,1006.07,0,1
94.22,33.28,1384.7,24.47,1.0,991.38,1,2
19.31,51.54,45.76,1.15,0.0,1009.52,1,0
84.79,25.91,771.4,16.31,0.0,1009.87,1,1
35.85,22.48,96.92,3.97,0.0,1010.37,1,1
38.99,68.1,622.85,4.61,0.1,1011.24,1,0
143.6,12.17,948.78,42.23,1.0,1000.25,0,2
23.23,43.43,61.2,2.18,0.0,1012.1,0,0
41.14,41.65,863.71,11.15,0.3,1007.6,0,1
23.8,43.02,71.73,1.73,0.0,1008.38,0,0
92.94,34.31,697.07,44.83,1.0,995.67,0,2
49.04,20.01,154.57,8.04,0.0,1011.4,1,1
29.25,40.31,26.17,1.06,0.0,1009.99,0,0
133.56,32.16,1928.96,55.87,1.0,997.38,1,2
106.57,38.17,1250.51,38.4,1.0,1007.93,1,2
81.93,21.5,169.72,6.95,0.2,1008.58,1,1
19.99,50.95,45.06,0.69,0.0,1012.82,0,0
43.17,80.48,625.94,0.12,0.1,1008.7,1,0
25.14,41.74,72.81,0.27,0.0,1012.64,1,0
84.08,23.72,210.93,1.6,0.2,1011.93,1,1
82.05,53.89,425.65,8.6,0.2,1010.4,1,1
45.87,75.71,225.58,1.58,0.0,1013.74,1,0
82.8,23.5,1590.5,58.62,1.0,1004.02,0,2
