Temperature,Humidity,Smoke_ADC,CO_ADC,Flame,LDR_ADC,LDR_Flicker,Motion,Label
21.78,56.98,135.0,391.0,0,2598.0,50.7,1,0
99.63,6.43,3384.0,2552.0,1,59.0,424.4,0,2
77.18,14.8,3487.0,2080.0,0,3162.0,63.7,0,1
25.88,50.87,89.0,338.0,0,1654.0,8.8,0,0
57.42,88.96,1007.0,357.0,0,2993.0,72.3,1,0
76.43,34.53,1278.0,1533.0,1,312.0,831.7,0,1
41.52,58.34,1944.0,101.0,0,2187.0,45.0,1,0
30.2,56.47,1896.0,148.0,0,3766.0,46.0,1,0
159.01,28.44,2971.0,3963.0,1,157.0,775.8,1,2
63.48,85.91,1969.0,33.0,0,1693.0,1.9,1,0
22.47,45.46,26.0,162.0,0,878.0,46.0,1,0
103.68,21.59,2449.0,1525.0,1,383.0,728.2,1,1
59.96,35.22,3283.0,2524.0,0,1509.0,64.5,0,1
22.92,43.97,62.0,193.0,0,3167.0,31.4,0,0
63.47,51.28,1418.0,1898.0,0,2539.0,22.2,1,1
27.78,64.52,198.0,85.0,0,3450.0,69.8,1,0
73.92,24.47,1299.0,854.0,0,944.0,45.3,1,1
101.65,23.75,2966.0,2656.0,1,343.0,283.6,0,2
65.87,31.12,2807.0,1943.0,1,225.0,649.5,1,1
92.91,32.37,3066.0,4072.0,1,99.0,552.8,1,2
158.35,30.59,4041.0,3739.0,1,241.0,275.4,1,2
60.36,54.12,2390.0,1419.0,0,1238.0,4.0,0,1
63.92,52.88,1803.0,1994.0,1,202.0,854.4,0,1
191.99,23.79,3943.0,2935.0,1,169.0,560.1,1,2
24.84,38.01,243.0,131.0,0,3533.0,20.4,1,0
29.26,47.67,28.0,43.0,0,2297.0,43.6,0,0
78.63,18.94,3497.0,1691.0,1,176.0,727.5,0,1
70.07,35.81,1287.0,1540.0,0,1875.0,74.5,0,1
18.65,48.27,99.0,175.0,0,3766.0,69.3,1,0
83.16,38.28,953.0,1821.0,0,1182.0,15.7,0,1
135.62,33.06,3518.0,2846.0,1,346.0,275.5,0,2
137.39,34.14,3633.0,3025.0,1,371.0,279.3,0,2
96.36,29.06,2105.0,1723.0,1,332.0,751.3,1,1
21.54,51.41,244.0,60.0,0,2607.0,44.8,0,0
51.82,76.44,1920.0,88.0,0,3145.0,41.5,1,0
103.55,17.96,1537.0,2267.0,0,889.0,48.0,1,1
193.07,15.42,3756.0,3548.0,1,192.0,873.5,0,2
151.68,27.41,3836.0,2967.0,1,278.0,776.7,1,2
80.76,20.93,1711.0,1515.0,1,221.0,442.8,0,1
83.73,49.23,1911.0,1139.0,0,1414.0,4.7,0,1
25.84,62.2,117.0,77.0,0,2024.0,76.1,1,0
53.5,88.59,1678.0,262.0,0,2220.0,17.9,1,0
184.09,15.71,3729.0,3099.0,1,290.0,809.8,1,2
27.03,62.24,205.0,160.0,0,2761.0,42.6,0,0
28.83,60.65,177.0,178.0,0,1001.0,66.2,1,0
91.51,16.98,2713.0,2458.0,0,2438.0,48.5,1,1
66.23,26.61,1288.0,1699.0,0,2469.0,55.0,1,1
38.08,81.53,2128.0,330.0,0,2312.0,22.9,1,0
114.74,32.92,3240.0,2707.0,1,262.0,432.0,1,2
166.21,34.84,2827.0,2542.0,1,371.0,487.9,1,2
105.23,6.34,3377.0,3170.0,1,244.0,666.5,1,2
26.47,37.52,283.0,81.0,0,1187.0,47.3,1,0
42.26,75.57,1754.0,149.0,0,1061.0,68.6,1,0
18.75,41.95,161.0,270.0,0,2893.0,70.8,1,0
58.32,41.38,2743.0,2600.0,0,3767.0,22.4,0,1
58.64,19.26,1886.0,2225.0,1,200.0,203.5,0,1
105.95,10.28,3214.0,2920.0,0,1865.0,75.4,1,1
19.55,54.08,91.0,80.0,0,1142.0,70.2,1,0
26.44,43.81,84.0,400.0,0,2743.0,18.3,0,0
109.83,29.04,3233.0,3532.0,1,141.0,498.9,1,2
27.65,47.59,127.0,254.0,0,830.0,19.8,1,0
22.92,49.01,132.0,4.0,0,1499.0,43.6,1,0
104.44,17.53,1697.0,2751.0,0,2590.0,64.7,0,1
28.95,59.99,189.0,83.0,0,2640.0,76.4,1,0
27.4,60.27,209.0,110.0,0,3546.0,56.1,1,0
18.53,36.12,251.0,372.0,0,3390.0,30.1,0,0
135.52,34.12,4035.0,3610.0,1,117.0,876.8,1,2
144.87,29.18,3449.0,3179.0,1,360.0,335.6,0,2
109.03,28.14,4069.0,4068.0,1,362.0,364.0,1,2
48.04,43.48,1558.0,1697.0,0,1442.0,70.1,0,1
100.94,38.51,1892.0,2905.0,1,259.0,811.1,1,1
79.08,26.9,1778.0,2467.0,1,178.0,602.6,1,1
97.47,43.09,2393.0,1581.0,1,272.0,252.7,1,1
20.2,38.62,46.0,71.0,0,2979.0,3.2,0,0
144.21,26.28,3921.0,2811.0,1,158.0,520.1,1,2
159.61,28.1,3354.0,3532.0,1,110.0,697.8,1,2
61.22,86.56,1382.0,132.0,0,2347.0,74.5,1,0
177.74,19.66,3673.0,2789.0,1,362.0,564.5,0,2
29.27,69.05,1088.0,245.0,0,3215.0,28.8,1,0
23.91,35.25,127.0,2.0,0,3176.0,19.4,0,0
69.53,31.57,1652.0,1238.0,0,2216.0,29.1,0,1
63.88,33.41,1776.0,1391.0,1,89.0,324.0,1,1
137.12,23.42,3209.0,2817.0,1,121.0,362.0,0,2
56.15,71.0,1134.0,246.0,0,3386.0,38.5,1,0
78.7,48.53,1680.0,1235.0,1,93.0,240.8,0,1
39.66,78.47,2123.0,77.0,0,1378.0,62.5,1,0
40.4,57.26,1807.0,143.0,0,3164.0,47.4,1,0
107.74,13.56,2894.0,2519.0,1,390.0,378.4,1,2
67.35,43.53,1832.0,1195.0,0,1098.0,3.6,0,1
82.6,34.02,822.0,1480.0,0,1088.0,14.1,0,1
56.75,79.68,1609.0,232.0,0,2202.0,68.1,1,0
192.1,33.94,2866.0,3404.0,1,244.0,279.0,1,2
46.81,43.55,2298.0,968.0,0,2438.0,16.3,1,1
20.99,54.34,140.0,4.0,0,2274.0,70.0,1,0
28.1,52.96,41.0,262.0,0,2102.0,68.7,1,0
38.63,71.49,797.0,376.0,0,2411.0,7.2,1,0
195.01,20.33,2985.0,3201.0,1,304.0,359.9,0,2
98.41,41.1,1704.0,2680.0,1,351.0,581.4,0,1
63.97,84.12,1483.0,244.0,0,2607.0,16.3,1,0
106.6,37.26,2385.0,2045.0,0,3542.0,9.5,1,1
58.29,63.39,878.0,97.0,0,2557.0,38.8,1,0
159.36,10.36,3205.0,2935.0,1,118.0,547.2,0,2
21.85,50.31,71.0,84.0,0,2966.0,21.3,1,0
159.03,14.62,3835.0,3338.0,1,284.0,673.5,0,2
52.62,76.56,742.0,106.0,0,3100.0,18.0,1,0
31.81,70.97,1484.0,351.0,0,976.0,67.3,1,0
155.91,31.96,3656.0,3184.0,1,257.0,408.3,0,2
30.56,58.0,1768.0,253.0,0,1866.0,21.5,1,0
25.38,50.27,115.0,272.0,0,2654.0,18.2,0,0
54.67,83.77,1499.0,318.0,0,3688.0,78.9,1,0
24.3,35.61,112.0,68.0,0,1727.0,74.7,0,0
22.56,61.73,19.0,374.0,0,3748.0,78.0,1,0
51.03,50.39,1151.0,1900.0,0,2198.0,30.7,1,1
45.07,63.97,979.0,229.0,0,1245.0,70.2,1,0
178.71,11.13,2862.0,3750.0,1,134.0,362.0,1,2
69.58,34.37,1084.0,813.0,0,1576.0,14.4,0,1
18.26,54.0,249.0,138.0,0,3144.0,6.1,0,0
25.77,35.19,66.0,65.0,0,2339.0,71.4,1,0
47.34,70.03,1198.0,162.0,0,2957.0,30.2,1,0
199.25,27.95,3038.0,3298.0,1,357.0,591.0,1,2
84.39,48.95,1861.0,1102.0,0,1532.0,14.4,0,1
23.7,55.21,166.0,288.0,0,2627.0,39.8,1,0
29.94,68.72,1289.0,466.0,0,3736.0,10.4,1,0
75.19,37.4,862.0,1234.0,0,3588.0,46.0,0,1
176.49,21.54,3942.0,3669.0,1,326.0,434.5,1,2
75.26,21.45,1931.0,1988.0,0,2222.0,68.1,1,1
27.48,52.81,271.0,211.0,0,2905.0,57.8,0,0
108.82,7.43,4029.0,3135.0,1,183.0,870.4,1,2
47.64,68.06,1341.0,327.0,0,3114.0,26.5,1,0
106.82,42.71,2153.0,2371.0,1,104.0,731.1,1,1
27.16,42.11,231.0,133.0,0,2368.0,37.8,1,0
59.93,74.8,1883.0,287.0,0,1410.0,38.8,1,0
43.58,88.39,2127.0,213.0,0,1554.0,22.0,1,0
69.43,18.03,3458.0,1816.0,1,178.0,842.9,1,1
56.05,18.84,2622.0,2262.0,0,1939.0,56.7,1,1
38.49,75.24,728.0,380.0,0,3268.0,74.1,1,0
25.41,44.12,262.0,238.0,0,2631.0,13.5,1,0
82.78,26.55,1912.0,803.0,0,3112.0,29.1,1,1
25.47,38.08,26.0,80.0,0,1774.0,2.0,0,0
109.36,38.22,2712.0,2181.0,0,3285.0,27.0,0,1
87.97,49.24,1584.0,1302.0,0,3511.0,59.5,1,1
110.58,34.53,3158.0,3028.0,1,400.0,412.8,1,2
94.68,44.74,2692.0,2290.0,0,3140.0,61.4,1,1
91.57,11.63,2922.0,3604.0,1,264.0,419.8,1,2
55.02,86.71,1885.0,76.0,0,1093.0,8.9,1,0
179.89,18.83,4068.0,3401.0,1,342.0,702.5,0,2
24.13,45.54,105.0,165.0,0,978.0,13.3,0,0
26.85,35.31,268.0,23.0,0,1049.0,49.7,0,0
59.8,33.35,2727.0,2357.0,0,3168.0,48.6,0,1
27.93,52.44,269.0,334.0,0,2128.0,4.8,0,0
37.31,79.95,1479.0,28.0,0,2129.0,33.6,1,0
58.63,22.93,1461.0,1461.0,0,3419.0,3.0,0,1
27.52,37.43,233.0,292.0,0,2314.0,20.6,1,0
179.61,7.06,3388.0,2568.0,1,81.0,600.0,1,2
126.22,28.13,3563.0,3334.0,1,150.0,802.7,0,2
108.17,7.58,3643.0,3151.0,1,107.0,728.3,1,2
33.68,80.5,1785.0,493.0,0,1963.0,52.4,1,0
121.07,28.83,2918.0,3039.0,1,129.0,564.3,0,2
76.57,38.5,2218.0,2222.0,0,2751.0,17.7,1,1
102.07,24.7,3143.0,1575.0,0,2962.0,69.7,0,1
70.76,18.37,2901.0,2329.0,0,2019.0,33.3,0,1
104.95,35.2,1681.0,2733.0,0,2839.0,16.3,0,1
61.91,86.79,694.0,184.0,0,2180.0,63.2,1,0
79.31,36.21,1125.0,1447.0,1,161.0,229.2,0,1
76.04,30.61,1246.0,1665.0,0,2832.0,47.1,1,1
47.66,27.95,2118.0,1104.0,0,1002.0,63.5,0,1
189.19,18.33,3194.0,3836.0,1,281.0,574.7,1,2
42.99,73.41,2157.0,497.0,0,1973.0,31.4,1,0
58.22,89.35,2067.0,354.0,0,2386.0,6.1,1,0
51.59,49.47,2411.0,1006.0,0,1457.0,8.6,0,1
63.53,50.8,914.0,828.0,0,2649.0,45.4,1,1
20.29,53.89,186.0,329.0,0,3095.0,20.2,0,0
72.65,32.79,3292.0,1558.0,0,1901.0,51.2,1,1
20.83,52.98,111.0,35.0,0,3526.0,78.5,0,0
96.21,27.32,2328.0,2883.0,0,1492.0,36.6,0,1
96.51,32.67,3976.0,2742.0,1,156.0,247.3,0,2
167.22,25.72,2859.0,2983.0,1,261.0,749.5,1,2
42.35,64.35,732.0,98.0,0,1023.0,66.6,1,0
127.9,31.76,3985.0,3430.0,1,350.0,726.6,1,2
103.64,24.03,3121.0,3143.0,1,356.0,257.4,1,2
154.68,20.72,3896.0,3042.0,1,262.0,401.0,0,2
197.36,15.06,3353.0,4074.0,1,315.0,845.6,1,2
62.3,18.68,3197.0,2231.0,0,1452.0,77.8,0,1
96.78,25.37,2953.0,1796.0,0,2820.0,29.2,1,1
67.26,38.04,1488.0,1362.0,0,1803.0,60.0,1,1
99.53,33.15,3214.0,2141.0,0,3797.0,61.7,0,1
50.28,79.25,1427.0,189.0,0,2191.0,44.5,1,0
74.76,38.76,1975.0,1805.0,0,2266.0,59.6,1,1
26.24,36.3,232.0,352.0,0,1758.0,5.0,1,0
58.06,29.26,3095.0,2756.0,1,190.0,698.7,0,1
56.74,67.46,1264.0,237.0,0,2489.0,22.1,1,0
100.27,26.43,2291.0,2098.0,0,2904.0,17.0,1,1
57.87,27.31,1400.0,1805.0,0,3353.0,36.3,0,1
21.11,54.37,22.0,35.0,0,813.0,26.2,0,0
28.55,74.38,1954.0,206.0,0,2329.0,13.3,1,0
123.61,22.57,3945.0,3698.0,1,219.0,674.5,0,2
27.68,57.25,172.0,238.0,0,1628.0,16.6,1,0
168.55,6.41,2952.0,3500.0,1,55.0,384.0,0,2
137.38,7.54,3756.0,3883.0,1,170.0,734.6,1,2
103.36,26.62,1777.0,2615.0,0,1611.0,21.1,0,1
62.96,24.35,2154.0,1019.0,0,2350.0,11.1,1,1
68.37,30.49,931.0,1313.0,0,3703.0,53.1,0,1
141.67,7.37,3042.0,3840.0,1,236.0,307.8,0,2
26.86,61.22,74.0,206.0,0,2627.0,46.9,1,0
109.41,22.7,1934.0,1806.0,0,2537.0,72.2,1,1
29.68,89.22,1573.0,349.0,0,2391.0,0.3,1,0
25.44,50.89,8.0,36.0,0,2154.0,15.1,0,0
74.92,26.17,2352.0,1793.0,0,2105.0,39.1,1,1
61.56,88.11,1187.0,152.0,0,2090.0,69.3,1,0
27.78,57.49,139.0,131.0,0,3178.0,2.1,0,0
26.31,52.28,290.0,235.0,0,1416.0,43.5,0,0
63.85,77.12,1060.0,492.0,0,3217.0,71.4,1,0
142.81,17.35,3033.0,3614.0,1,252.0,808.8,1,2
21.97,63.4,227.0,230.0,0,3240.0,42.1,0,0
41.49,85.39,748.0,360.0,0,3567.0,54.0,1,0
43.27,71.47,1756.0,284.0,0,1491.0,45.9,1,0
130.18,18.76,3828.0,3639.0,1,129.0,651.4,1,2
46.44,40.18,976.0,1067.0,0,1310.0,66.2,1,1
28.64,51.54,196.0,237.0,0,3635.0,22.7,0,0
27.9,49.4,275.0,36.0,0,3629.0,23.5,0,0
55.24,30.43,1643.0,1395.0,1,348.0,608.8,1,1
53.83,45.14,878.0,1286.0,0,809.0,2.0,1,1
55.04,15.11,2227.0,1749.0,1,149.0,282.1,1,1
78.95,23.23,2250.0,1545.0,0,2692.0,33.0,0,1
44.14,81.86,1900.0,371.0,0,888.0,6.8,1,0
31.73,77.14,1431.0,393.0,0,1208.0,29.5,1,0
142.61,12.17,3062.0,4078.0,1,191.0,212.4,1,2
70.45,24.94,1942.0,1739.0,0,2044.0,50.0,1,1
29.56,41.1,49.0,363.0,0,2570.0,67.2,1,0
44.58,49.53,905.0,896.0,0,2535.0,21.1,0,1
47.08,74.73,683.0,267.0,0,2102.0,42.7,1,0
96.49,28.94,3276.0,4056.0,1,62.0,291.9,1,2
102.66,28.06,3443.0,2432.0,0,3418.0,69.0,0,1
87.48,45.0,851.0,1214.0,0,997.0,55.2,0,1
21.86,55.47,101.0,68.0,0,3639.0,11.4,0,0
55.53,18.88,2929.0,2353.0,0,2077.0,54.5,0,1
53.39,23.23,3399.0,2225.0,0,3404.0,11.3,0,1
152.31,29.5,2873.0,2589.0,1,56.0,802.0,1,2
23.4,63.04,64.0,12.0,0,3476.0,39.2,1,0
56.53,22.76,2172.0,945.0,0,2257.0,18.9,1,1
51.47,89.95,2109.0,471.0,0,2382.0,30.9,1,0
20.79,39.36,14.0,113.0,0,1411.0,60.0,1,0
39.05,76.37,1773.0,394.0,0,1538.0,64.3,1,0
57.24,35.73,1814.0,1577.0,1,85.0,256.3,1,1
23.22,48.62,142.0,118.0,0,2925.0,24.9,0,0
55.58,49.21,2380.0,945.0,0,1153.0,14.4,1,1
82.68,37.01,1752.0,1605.0,0,2390.0,66.6,0,1
143.75,10.4,3840.0,3654.0,1,328.0,764.6,1,2
83.58,34.97,1903.0,974.0,1,80.0,531.1,1,1
150.54,5.28,3440.0,3488.0,1,106.0,610.7,1,2
138.45,27.85,3253.0,3833.0,1,236.0,831.3,0,2
75.24,22.2,3162.0,2444.0,1,363.0,880.3,1,1
166.0,25.95,2979.0,3816.0,1,276.0,487.1,0,2
27.2,39.3,290.0,262.0,0,3604.0,31.0,1,0
105.02,12.99,3567.0,3973.0,1,274.0,674.6,1,2
76.57,28.53,2653.0,1959.0,0,3124.0,2.1,0,1
23.66,57.18,173.0,270.0,0,1658.0,35.7,1,0
48.92,31.04,1612.0,876.0,0,1933.0,11.1,0,1
45.72,60.42,1624.0,291.0,0,2836.0,43.5,1,0
20.16,41.27,155.0,114.0,0,2829.0,31.9,0,0
107.73,11.83,3469.0,2732.0,0,2582.0,33.3,0,1
85.08,39.58,2750.0,2864.0,1,76.0,376.9,0,1
74.73,36.19,3320.0,1999.0,0,1833.0,12.7,0,1
51.56,68.64,1983.0,227.0,0,2219.0,44.7,1,0
58.78,17.03,2361.0,2236.0,1,365.0,202.4,0,1
38.8,84.68,2194.0,394.0,0,1871.0,34.7,1,0
23.33,59.56,91.0,144.0,0,1877.0,14.2,1,0
71.48,32.38,2049.0,1541.0,0,3087.0,73.5,1,1
26.77,64.42,237.0,204.0,0,2576.0,76.6,0,0
109.5,15.04,3684.0,3998.0,1,60.0,591.9,1,2
91.62,21.28,2574.0,1714.0,0,3613.0,42.0,0,1
121.65,21.56,2817.0,3218.0,1,270.0,861.8,0,2
50.87,41.76,2265.0,855.0,0,2710.0,64.9,1,1
22.26,53.83,69.0,271.0,0,3322.0,36.3,0,0
194.22,22.55,3451.0,3389.0,1,299.0,839.3,0,2
90.0,27.81,1936.0,854.0,0,2314.0,72.3,1,1
24.26,39.91,154.0,304.0,0,2731.0,7.9,1,0
20.85,63.22,280.0,167.0,0,3539.0,38.0,0,0
152.5,10.82,3761.0,3199.0,1,87.0,343.6,0,2
20.48,50.44,190.0,32.0,0,1493.0,56.9,1,0
60.12,68.61,835.0,40.0,0,3374.0,52.9,1,0
29.81,58.16,86.0,238.0,0,899.0,27.3,1,0
51.75,56.62,757.0,180.0,0,1682.0,72.8,1,0
62.08,68.33,1209.0,81.0,0,976.0,17.1,1,0
20.28,50.91,122.0,293.0,0,1866.0,44.4,1,0
94.52,29.33,1512.0,2472.0,1,101.0,358.5,1,1
42.96,54.68,1229.0,1260.0,0,1130.0,41.9,0,1
23.53,64.9,27.0,65.0,0,2256.0,18.8,0,0
60.34,29.97,1799.0,2972.0,0,2868.0,0.3,0,1
25.09,37.39,183.0,85.0,0,2436.0,9.1,0,0
94.96,25.75,3198.0,2837.0,1,230.0,815.4,0,2
104.1,9.15,3228.0,3500.0,1,122.0,880.9,0,2
96.7,38.78,2116.0,1942.0,1,274.0,269.1,0,1
22.91,51.61,189.0,130.0,0,3417.0,45.3,0,0
186.82,21.45,3252.0,3986.0,1,340.0,811.0,1,2
46.2,22.03,1258.0,1014.0,0,2994.0,74.3,0,1
52.27,34.02,1589.0,1967.0,0,1453.0,53.0,1,1
21.88,40.93,117.0,348.0,0,2117.0,68.3,0,0
169.15,8.25,3455.0,2618.0,1,263.0,877.7,1,2
70.83,17.35,1615.0,2903.0,1,220.0,471.6,0,1
43.93,73.89,902.0,335.0,0,3170.0,58.1,1,0
88.53,48.64,2085.0,1567.0,0,1014.0,32.6,1,1
89.81,42.74,2102.0,1149.0,0,3461.0,49.1,0,1
108.64,26.56,2229.0,2193.0,0,2069.0,38.6,1,1
90.74,21.6,3884.0,3631.0,1,63.0,838.6,1,2
69.6,52.96,1158.0,1288.0,0,1887.0,64.1,1,1
46.76,23.46,2033.0,1892.0,0,1132.0,37.5,1,1
192.28,26.68,3595.0,2999.0,1,367.0,782.6,0,2
74.96,53.34,2130.0,1272.0,0,1263.0,22.4,1,1
68.92,53.86,957.0,1256.0,1,277.0,253.9,1,1
59.51,42.68,2118.0,836.0,0,2425.0,39.2,1,1
29.63,58.64,72.0,288.0,0,2412.0,2.8,0,0
75.03,49.4,2223.0,1966.0,0,2156.0,10.0,1,1
93.22,37.84,1743.0,2722.0,1,343.0,266.5,0,1
57.67,67.07,1669.0,153.0,0,1683.0,17.5,1,0
63.28,29.95,2238.0,1600.0,0,3004.0,72.4,0,1
30.72,89.05,1277.0,325.0,0,3506.0,64.1,1,0
89.99,32.83,2634.0,2311.0,1,177.0,344.8,1,1
28.71,58.22,150.0,329.0,0,2181.0,10.2,1,0
38.67,83.03,876.0,9.0,0,2540.0,34.6,1,0
55.4,12.16,3181.0,1693.0,0,1779.0,10.7,0,1
21.85,35.23,45.0,36.0,0,1414.0,1.0,1,0
80.99,31.91,1653.0,1521.0,0,1443.0,76.3,1,1
168.72,16.23,3665.0,2816.0,1,218.0,295.6,0,2
62.15,58.34,1620.0,319.0,0,1527.0,75.2,1,0
18.79,43.51,93.0,174.0,0,1390.0,47.9,0,0
52.22,58.32,1840.0,72.0,0,2903.0,55.6,1,0
19.98,43.53,58.0,1.0,0,2068.0,65.1,0,0
47.89,28.11,1922.0,1392.0,1,198.0,267.0,1,1
92.2,13.11,2454.0,1851.0,0,1043.0,75.6,1,1
104.21,15.16,3253.0,1675.0,0,3109.0,54.7,1,1
31.98,57.82,1599.0,317.0,0,2486.0,57.9,1,0
19.16,51.79,165.0,227.0,0,3453.0,42.4,0,0
81.91,51.78,1109.0,1396.0,0,1098.0,21.6,1,1
27.77,50.01,212.0,355.0,0,1041.0,59.7,0,0
22.18,39.93,283.0,107.0,0,2916.0,40.1,1,0
189.82,19.73,3369.0,3883.0,1,239.0,286.4,0,2
88.96,27.76,2780.0,2410.0,0,1747.0,67.4,1,1
53.89,59.6,761.0,137.0,0,1766.0,20.9,1,0
63.67,65.42,1098.0,232.0,0,1916.0,29.1,1,0
80.76,27.22,1830.0,2041.0,0,2311.0,17.4,0,1
192.7,23.55,3568.0,3540.0,1,103.0,790.2,1,2
188.92,27.2,4002.0,3207.0,1,359.0,566.0,1,2
53.66,23.92,970.0,1067.0,0,2083.0,75.9,0,1
48.31,36.27,987.0,1679.0,0,3206.0,21.7,0,1
68.71,44.83,1259.0,1487.0,0,2221.0,63.1,0,1
174.99,13.25,3407.0,3556.0,1,166.0,528.5,0,2
87.33,54.14,1797.0,1609.0,0,3084.0,63.8,0,1
86.25,36.12,1936.0,1647.0,0,1609.0,8.7,0,1
94.11,22.01,1592.0,1826.0,0,1150.0,23.2,1,1
108.37,37.23,2417.0,2221.0,0,2057.0,66.0,1,1
61.68,62.15,701.0,160.0,0,3658.0,15.6,1,0
55.62,65.25,2049.0,71.0,0,1537.0,57.9,1,0
28.54,47.22,184.0,6.0,0,2065.0,76.9,1,0
103.43,16.43,1501.0,2691.0,1,290.0,589.5,0,1
69.33,47.33,1733.0,1600.0,0,1364.0,34.1,1,1
25.84,52.65,188.0,68.0,0,2019.0,13.8,0,0
20.11,56.65,240.0,204.0,0,2284.0,36.4,1,0
37.74,86.81,979.0,444.0,0,2836.0,39.4,1,0
46.4,42.21,2320.0,1195.0,0,2052.0,76.9,1,1
184.11,23.54,3060.0,3360.0,1,57.0,467.7,0,2
63.13,26.65,2444.0,1030.0,0,3262.0,22.7,1,1
136.72,21.28,3656.0,3705.0,1,217.0,228.3,1,2
21.49,50.36,54.0,251.0,0,2744.0,1.7,0,0
174.29,26.24,2863.0,2746.0,1,345.0,515.0,1,2
26.41,57.25,211.0,234.0,0,1504.0,55.8,0,0
58.45,62.94,853.0,147.0,0,2716.0,74.1,1,0
85.85,15.12,1982.0,2891.0,0,3328.0,47.2,0,1
105.58,41.62,3229.0,1749.0,1,176.0,855.1,0,1
43.01,20.28,1171.0,1600.0,0,3235.0,26.3,1,1
188.53,11.19,3584.0,4007.0,1,105.0,884.3,0,2
90.97,24.29,1632.0,2417.0,0,1738.0,64.4,0,1
37.39,72.82,1238.0,190.0,0,2171.0,50.8,1,0
19.86,61.95,66.0,260.0,0,3609.0,17.2,1,0
56.92,87.9,1116.0,326.0,0,2273.0,2.7,1,0
29.49,44.85,33.0,375.0,0,3596.0,21.9,0,0
147.96,21.31,3000.0,3186.0,1,180.0,455.8,0,2
46.33,29.52,874.0,1713.0,0,2998.0,11.9,0,1
138.77,23.42,2933.0,2985.0,1,302.0,792.1,1,2
88.2,38.37,1754.0,2562.0,0,1736.0,7.5,0,1
77.3,10.1,1705.0,2131.0,0,1229.0,19.8,1,1
172.63,21.77,4030.0,3063.0,1,372.0,473.2,1,2
162.82,25.36,4018.0,2677.0,1,196.0,215.3,1,2
87.47,35.19,1820.0,831.0,1,58.0,302.6,0,1
23.49,57.25,43.0,264.0,0,2909.0,50.7,0,0
43.16,50.14,2203.0,1795.0,0,2428.0,76.4,1,1
148.48,5.3,3316.0,2970.0,1,219.0,367.5,1,2
21.23,55.08,71.0,23.0,0,3376.0,68.1,0,0
94.84,29.81,2622.0,2664.0,0,3688.0,48.6,0,1
93.26,36.06,2918.0,2689.0,0,1881.0,43.9,1,1
101.54,33.61,3893.0,3145.0,1,174.0,713.6,1,2
164.05,23.72,3915.0,2824.0,1,64.0,706.5,0,2
100.69,25.43,3298.0,3282.0,1,192.0,839.3,0,2
199.84,28.29,3369.0,3286.0,1,130.0,582.2,1,2
20.25,57.08,278.0,248.0,0,972.0,38.6,1,0
80.37,49.91,1645.0,1282.0,0,2544.0,74.8,1,1
